"","X.1","X","Acura","Audi","Bentley","BMW","Buick","Cadillac","Chevrolet","Chrysler","dates","Dodge","Fiat","Ford","GMC","Honda","Hummer","Hyundai","Infiniti","Isuzue","Jaguar","Jeep","Kia","Lamborghini","Land.Rover","Lexus","Lincoln","Maserati","Mazda","Mercedes.Benz","Mercury","Mini","Mitsubishi","Nissan","Number.of.Days.sold","Pontiac","Porsche","Ram","Rolls.Royce","Saab","Saturn","Smart","Subaru","Suzuki","Toyota","Volkswagen","Volvo","new.dates..1."
"1:94","0.106944444",94,13899,13157,NA,23225,17157,13230,172460,27836,NA,53413,3899,204969,34799,117100,0,63315,7844,0,1141,39426,47556,NA,3543,18091,7615,NA,19894,25490,0,5786,4461,80003,25,0,4032,32124,NA,0,0,667,32943,0,158069,33644,4464,2013-04-01
"1:95","0.107638889",95,14364,13228,NA,25230,17982,13808,179510,29070,NA,56407,4051,239280,41594,125649,0,68358,7899,0,1435,44419,52327,NA,3554,22229,7305,NA,24270,25561,0,5944,4715,106558,26,0,3928,32649,NA,0,0,818,39892,0,185723,38013,6329,2013-05-01
"1:96","0.108333333",96,13765,13706,NA,27074,18078,13929,193460,27249,NA,49843,4050,228174,39276,123150,0,65007,9114,0,1637,44609,50536,NA,3468,21355,7469,NA,22496,26381,0,6571,5297,95010,26,0,3700,30935,NA,0,0,781,39235,0,173880,36957,6678,2013-06-01
"1:97","0.109027778",97,15150,13064,NA,24043,16393,15652,162670,19978,NA,41986,3783,186796,39356,126289,0,66005,7762,0,1613,42227,49004,NA,4050,23031,6919,NA,24977,25563,0,5950,5230,101279,25,0,3820,32078,NA,0,0,860,35994,0,170363,35779,5909,2013-07-01
"1:98","0.109722222",98,17051,14005,NA,24523,24650,20255,187740,28678,NA,52858,4190,213078,43202,149381,0,66101,11884,0,1723,46239,52025,46,4938,29792,8192,326,28106,26151,0,6023,5281,108614,28,0,3327,33587,84,0,0,993,41061,0,201745,40342,5519,2013-08-01
"1:99","0.110416667",99,11648,13065,253,23568,15623,13828,127785,25251,NA,48576,3157,178693,29959,93915,0,55102,9040,0,1313,37464,38003,NA,3387,19522,6453,379,22464,26849,0,5306,4001,77828,23,0,3093,28569,84,0,0,625,31755,0,144935,31920,4188,2013-09-01
"1:100","0.111111111",100,14296,13000,340,27574,17555,14792,155214,23452,NA,45314,3674,184854,38841,100242,0,53555,9152,0,1515,36379,39754,46,4286,22719,7131,623,19738,32107,0,5700,4972,81866,27,0,3562,31264,84,0,0,513,34483,0,146257,28129,3919,2013-10-01
"1:101","0.111805556",101,14559,13636,NA,31752,15072,16172,145089,21024,NA,41506,3075,183722,35727,101948,0,56005,13152,0,1446,45415,45411,46,4601,25611,6727,910,20754,36386,0,4575,6071,93376,26,0,3966,31255,NA,0,0,959,36621,0,152433,30727,4233,2013-11-01
"1:102","0.1125",102,15751,17013,350,37389,15379,18165,153493,20270,NA,47689,3745,210074,43120,119504,0,63005,13232,0,1544,53275,33631,46,5764,34757,7984,NA,22964,35835,0,6592,6423,96526,25,0,3246,36028,NA,0,0,855,40172,0,156086,34015,4888,2013-12-01
"1:103","0.113194444",103,10823,10101,192,18253,13278,11386,119089,21113,NA,34905,3222,148671,27733,80808,0,44005,8998,0,1347,41910,37011,47,4674,17637,5973,567,18813,23892,0,2543,4867,81472,25,0,3096,26033,86,0,0,521,33000,0,128728,23494,3792,2014-01-01
"1:104","0.113888889",104,11545,10881,NA,22017,19192,13437,153913,25230,NA,49744,3465,177286,35562,88860,0,49003,9729,0,1552,45946,41218,NA,4006,18855,6661,NA,24331,22609,0,2459,5977,105631,24,0,3232,30481,NA,0,0,941,34909,0,140429,27112,4867,2014-02-01
"1:105","0.114583333",105,15580,14246,280,32107,20428,14765,179681,26140,NA,60575,4738,235198,41173,117738,0,67005,12494,0,1816,57983,54777,59,4399,28593,8969,963,34903,29316,0,3655,8996,136642,26,0,3808,44479,75,0,0,775,44479,0,186755,36717,5915,2014-03-01
"1:106","0.115277778",106,14122,15653,209,25202,19214,13900,181648,21967,NA,53463,4298,203552,39314,118334,0,66107,9170,0,1035,59754,53676,59,4533,23165,6803,964,22434,28281,0,4390,6542,94764,26,0,4072,39170,75,0,0,1048,40083,0,176495,30831,4635,2014-04-01
"1:107","0.115972222",107,14675,16601,233,29602,19957,14688,205010,22592,NA,57923,4771,244501,45039,137928,0,70907,10376,0,1304,70203,60087,59,4536,26921,8845,1144,29731,26617,0,5729,7269,125558,27,0,4609,38932,75,0,0,689,44170,0,216315,32163,5014,2014-05-01
"1:108","0.116666667",108,11206,16867,216,30201,21403,13941,188567,24026,NA,50314,4478,214125,43550,117817,0,67407,8574,0,1263,57006,50644,59,4038,23518,7271,966,26208,28707,0,5376,6021,101069,27,0,4101,35262,75,0,0,673,41367,0,178196,28827,5983,2014-06-01
"1:109","0.117361111",109,12480,14616,201,26409,17683,15241,175155,23455,NA,43118,3807,203604,48081,123428,0,67011,8538,0,1187,59588,52309,59,4643,27333,7863,1132,29238,29406,0,5811,6349,112914,26,0,4300,37699,75,0,0,1351,45714,0,188469,30553,4894,2014-07-01
"1:110","2",NA,15487,17101,241,27214,22143,16650,185930,29762,NA,49895,3362,213227,47700,151551,0,70003,9164,0,1184,68766,54667,59,4489,32809,8146,1233,31305,28958,0,5006,6786,125224,27,0,4540,46594,75,0,0,1334,50246,0,213291,35181,4960,2014-08-01
"2",NA,NA,13832,14917,236,25586,17466,13829,153873,28781,NA,44020,3360,172261,38269,104391,0,56010,7837,0,1142,55231,40628,59,3106,21852,7257,1318,23980,29523,0,4219,5558,95118,24,0,3607,38498,75,0,0,748,41517,0,145427,25996,4667,2014-09-01
